trend,january,february,march,april,may,june,july,august,september,october,november,december,,new_tags_taxonomy,shopstyle_taxonomy
levis 501 jean,110,70,90,50,50,50,70,70,90,140,110,,,,men.mens_clothes.mens_jeans
laser cut satchel,70,70,90,50,90,50,110,50,50,40,110,,,,women.handbags.satchels
beaded coat,70,90,50,90,70,50,70,70,170,210,110,,,,women.womens_clothes.womens_outerwear.coats
print satchel,50,40,40,90,20,50,70,40,90,70,110,,,,women.handbags.satchels
faux leather pumps,70,90,70,40,50,70,50,90,90,50,110,,,,women.womens_shoes.pumps
neoprene sneakers,70,140,170,110,110,90,110,110,110,140,110,,,,women.womens_shoes.womens_sneakers
hair styling creme,110,170,140,140,210,210,170,140,260,140,110,,,,women.womens_beauty.hair_care
retinoid eye cream,110,90,170,90,90,110,90,70,110,110,110,,,,women.womens_beauty.skin_care
white boyfriend cardigan,210,210,260,320,320,320,260,210,320,260,110,,,,women.womens_clothes.sweaters.cardigan_sweaters
cady dress,90,110,110,110,90,90,70,90,70,50,110,,,Dresses -  Material,women.womens_clothes.dresses
oriental cream,50,30,40,40,50,30,30,40,110,90,110,,,,living.rugs.rugs_indoor
londonfashionweek,1300,210,90,170,170,260,590,2400,170,140,110,,,,
cowl back gown,140,110,90,70,110,50,90,140,110,140,110,,,,women.womens_clothes.dresses
yurba mate,110,90,90,110,110,110,140,110,110,70,110,,,,
criticschoice,70,50,40,320,110,40,30,40,40,50,110,,,Events - Red Carpet Hashtags,
styleweek,260,70,30,50,70,90,140,210,70,110,110,,,,
initial bag charms,0,0,0,0,0,0,0,0,0,70,110,,,,women.womens_clothes.jewelry.charms
olive lace dress,50,90,70,70,50,90,110,110,210,140,110,,,,women.womens_clothes.dresses
lookoftheday,170,210,170,210,260,210,170,210,170,140,110,,,,
tiered gown,170,210,140,170,90,140,170,170,140,90,110,,,Dresses - Formal: Silhouette,women.womens_clothes.dresses
one shoulder romper,210,320,390,390,390,260,210,170,110,140,110,,,Romper and Jumpsuits - Silhouette,women.womens_clothes.shorts
mens boat neck sweater,70,70,40,50,30,20,30,50,110,90,110,,,,men.mens_clothes.mens_sweaters
strappy romper,110,170,140,390,260,210,140,110,170,90,110,,,,women.womens_clothes.shorts
mens monk strap boot,20,20,10,10,10,10,10,40,50,70,110,,,,men.mens_shoes.mens_boots
eyelet shorts,390,880,1600,1300,1600,880,590,390,260,170,110,,,Swimwear - Silhouette,women.womens_clothes.shorts
crocodile shoulder bag,110,210,110,90,140,70,140,50,140,170,110,,,,women.handbags.shoulder_bags
trapeze bags,70,140,70,70,70,70,90,50,90,70,110,,,,women.handbags
day shoes,140,210,170,210,140,140,210,90,110,110,110,,,Shoes - Occasion,women.womens_shoes
han bang,90,140,90,110,110,140,110,90,110,90,110,,,,women.womens_beauty.skin_care
caftan gown,90,90,110,90,110,90,110,140,110,90,110,,,,women.womens_clothes
cleansing stick,50,260,140,170,260,210,170,320,210,140,140,,,,women.womens_beauty.skin_care
mens platinum earrings,50,70,40,50,70,70,90,30,40,70,140,,,,
printed tote,110,140,140,260,140,110,140,140,90,210,140,,,,women.handbags.tote_bags
glossy lip,90,110,140,90,110,90,110,90,140,90,140,,,,women.womens_beauty.makeup.lip_products
plus size cropped jeans,140,320,480,480,480,390,260,210,140,70,140,,,,women.womens_clothes.plus_sizes.plus_size_jeans
sun cushion,90,90,170,210,110,170,260,140,170,110,140,,,Beauty - Korean,living.furniture.outdoor_furniture.outdoor_pillows_cushions
mens poloshirt,90,30,50,110,90,90,40,20,50,70,140,,,,men.mens_clothes.mens_shirts.mens_polo_shirts
oil absorbing paper,140,110,140,140,140,170,210,210,170,170,140,,,,women.womens_beauty
python flats,110,170,170,170,110,90,210,210,210,110,140,,,,women.womens_shoes.flats
shearling sandals,140,90,70,50,30,50,70,50,70,140,140,,,,women.womens_shoes.sandals
disc ring,110,140,90,140,110,140,170,110,90,140,140,,,,women.womens_clothes.jewelry.rings
nyfwm,0,0,0,0,0,6600,320,320,110,70,140,,,,
print skinny jeans,140,90,260,110,110,170,110,70,170,170,140,,,,women.womens_clothes.jeans.skinny_jeans
grant driver,140,210,170,170,140,170,110,110,90,140,140,,,,men.mens_shoes
linen romper,260,480,390,720,880,590,390,210,110,110,140,,,Romper and Jumpsuits - Material,women.womens_clothes.shorts
teenchoice,90,110,50,5400,9900,14800,12100,210,140,110,140,,,Events - Red Carpet Hashtags,
cowl neck gown,260,210,140,170,110,90,140,170,260,170,140,,,Dresses - Formal: Silhouette,women.womens_clothes.dresses
levis womens shoes,50,110,90,140,70,90,110,90,140,90,140,,,,women.womens_shoes
mens raglan sweater,30,50,20,10,10,40,20,30,90,140,140,,,,men.mens_clothes.mens_sweaters
origami nails,90,90,90,110,110,110,70,170,170,110,140,,,,women.womens_clothes
styleblogger,170,210,170,170,140,140,170,170,210,140,140,,,,
fabmom,170,170,210,170,210,170,170,210,140,90,140,,,Maternity Hashtags,
checkerboard shorts,140,140,170,170,260,210,210,210,110,70,140,,,,men
logo handbag,110,140,140,90,70,90,70,140,110,110,140,,,,women.handbags
sebum powder,30,70,70,110,110,140,110,140,90,110,140,,,Beauty - Korean,women.womens_beauty.makeup.face_makeup
python sandals,210,260,390,320,390,260,320,140,70,90,140,,,,women.womens_shoes.sandals
crocodile pumps,210,260,110,110,140,140,170,260,260,320,140,,,,women.womens_shoes.pumps
cascade earrings,110,170,140,210,110,140,140,140,170,210,140,,,,women.womens_clothes.jewelry.earrings
cropped boyfriend jeans,320,590,720,590,590,590,480,260,260,210,140,,,Denim and Jeans - Classification,women.womens_clothes.jeans.cropped_jeans
statement sunglasses,70,210,210,210,140,210,210,110,140,110,140,,,,women.womens_clothes.womens_accessories.womens_eyewear.sunglasses
logo sneakers,110,140,140,110,70,110,110,140,140,110,140,,,,women.womens_shoes.womens_sneakers
rolled pants,90,140,140,170,140,140,140,140,140,140,140,,,,women.womens_clothes.womens_pants
beautybox 5,260,390,210,260,170,210,210,170,170,140,140,,,Trends - Gifting: Beauty Sets,
wide strap sandals,210,320,480,590,590,590,390,210,170,110,140,,,,women.womens_shoes.sandals
embossed bag,110,110,140,140,170,110,140,170,140,170,140,,,Handbags - Embellishment,women.handbags
mens classic shirts,110,110,140,140,140,140,210,110,170,210,140,,,Mens - Dress Shirts: Classification,men.mens_clothes.mens_shirts
armparty,170,170,140,170,140,210,170,110,110,110,140,,,,
pictureoftheday,170,140,170,140,140,170,170,110,110,140,140,,,,
boxy shirts,110,140,170,140,170,210,210,140,140,170,140,,,,women.womens_clothes.womens_tops.tees_and_tshirts
pebbled leather satchel,90,90,110,170,170,90,70,90,140,110,140,,,,women.handbags.satchels
printed belt,50,70,70,140,90,70,90,50,90,110,140,,,Belt - Classification,women.womens_clothes.womens_accessories.belts
maternity capri pants,390,880,1000,1300,720,720,390,260,170,210,140,,,,women.womens_clothes.maternity_clothes.maternity_pants
patterned jackets,140,210,140,170,110,70,170,140,140,140,140,,,,women.womens_clothes.jackets
caftan sweater,30,30,20,20,30,20,40,30,90,110,140,,,,women.womens_clothes.sweaters
mens nylon coat,30,30,10,20,10,30,70,10,50,90,140,,,,men.mens_clothes
miss america competition,50,90,50,50,90,110,170,1000,70,90,140,,,,women.womens_beauty
mid rise bootcut,50,50,90,90,20,30,70,50,170,140,140,,,,women.womens_clothes.jeans.bootcut_jeans
cotton trunk,40,40,70,50,110,70,90,50,140,110,140,,,,men.mens_clothes.mens_underwear_and_socks.mens_boxers
ikat top,90,140,210,170,210,170,170,170,140,90,140,,,Tops - Prints,women.womens_clothes.womens_tops
three quarter sleeve coat,140,50,90,20,20,20,50,110,170,90,140,,,,women.womens_clothes.womens_outerwear.coats
mens shield sunglasses,480,320,480,480,480,590,390,260,210,260,140,,,,men.mens_clothes.mens_accessories.mens_eyewear.mens_sunglasses
latingrammy,140,70,70,40,40,40,140,480,260,3600,140,,,,
mens zipup hoodie,140,70,20,20,10,50,30,90,90,70,140,,,,
buckle pumps,140,140,110,170,140,70,140,70,210,170,170,,,,women.womens_shoes.pumps
canvas pant,90,110,110,70,110,70,170,140,170,170,170,,,,men.mens_clothes.mens_pants
cropped trouser,210,260,320,260,320,210,320,170,320,170,170,,,,women.womens_clothes.womens_pants.cropped_pants
womens relaxed jeans,90,140,70,140,50,90,110,210,390,260,170,,,,women.womens_clothes.jeans.relaxed_jeans
cologne body wash,110,70,70,90,90,50,50,90,90,70,170,,,,women.womens_beauty
mens logo t shirt,70,90,140,140,50,170,90,50,50,140,170,,,Mens - Tees & Polos: Fabrics & Prints,men.mens_clothes.mens_shirts.mens_tees_and_tshirts
mini bag charm,0,0,0,0,0,0,20,20,140,110,170,,,,women.handbags
button down coat,70,40,40,40,40,50,70,140,140,170,170,,,,women.womens_clothes.womens_outerwear.coats
printed handbag,140,480,320,170,110,110,70,140,140,210,170,,,Handbags - Embellishment,women.handbags
perforated sneakers,390,480,880,2400,880,720,590,260,210,210,170,,,Shoes - Sneakers: Embellishment,women.womens_shoes.womens_sneakers
plus size special occasion dress,320,390,590,1300,1600,720,390,590,390,590,170,,,Dresses - Plus Size,women.womens_clothes.plus_sizes.plus_size_dresses
dark wash denim,110,140,140,110,110,110,170,170,170,140,170,,,,women.womens_clothes
french terry top,110,170,140,110,110,110,90,90,210,210,170,,,Tops - Material: Knit,women.womens_clothes.womens_tops
nsale,90,110,110,140,170,3600,720,210,210,170,170,,,,women.womens_clothes
metgala,50,90,210,74000,590,320,260,170,210,170,170,,,,
levis womens shorts,260,480,720,720,720,720,590,210,140,140,170,,,,women.womens_clothes.shorts
underwear hipsters,90,140,110,70,110,90,90,50,70,90,170,,,,women.womens_clothes.womens_intimates.panties
island print,170,170,170,210,210,170,210,170,170,210,170,,,Trends - Prints & Color,women.womens_clothes
suede skinny jeans,30,20,30,20,30,30,50,90,110,140,170,,,,women.womens_clothes.jeans.skinny_jeans
activated charcoal shampoo,70,110,90,90,90,90,90,140,170,260,170,,,,
ponte top,140,140,110,110,90,110,110,210,140,260,170,,,Tops - Material: Knit,women.womens_clothes.womens_tops
embellished sneakers,70,140,110,170,140,90,170,140,210,170,170,,,,women.womens_shoes.womens_sneakers
distressed flare jeans,320,320,320,170,140,110,260,320,260,260,170,,,,women.womens_clothes.jeans.distressed_jeans
nylon sneakers,90,140,140,140,110,90,170,140,140,170,170,,,Shoes - Sneakers: Materials,men.mens_shoes.mens_sneakers
pvc sandals,210,320,260,390,320,320,260,170,210,170,170,,,,women.womens_shoes.sandals
charcoal beauty,140,140,210,170,170,590,170,170,110,140,170,,,,women.womens_beauty.makeup.eye_makeup
ruffle gown,210,90,140,140,140,140,110,170,260,210,170,,,Dresses - Formal: Embellishment,women.womens_clothes.dresses.evening_dresses
crepe gown,170,210,110,140,210,110,170,210,210,210,170,,,Dresses - Formal: Material,women.womens_clothes.dresses.evening_dresses
canvas booties,90,320,210,110,110,140,170,140,170,210,170,,,,women.womens_shoes.boots
single button coat,90,70,40,20,30,30,50,110,210,210,170,,,Outerwear - Coats: Silhouette,men.mens_clothes.mens_blazers_and_sport_coats
crop shorts,170,320,390,480,480,480,320,210,210,170,170,,,Shorts - Silhouette,women.womens_clothes.womens_pants.cropped_pants
mens bead necklaces,170,140,140,140,170,170,110,210,320,170,170,,,,men.mens_clothes.mens_watches_and_jewelry.mens_jewelry
two tone satchel,110,90,140,70,90,70,110,70,50,170,170,,,,women.handbags.satchels
wide waist leggings,90,90,90,70,50,50,90,170,210,210,170,,,,women.womens_clothes.womens_pants.leggings
colorblock bag,210,210,170,170,170,210,110,210,140,170,170,,,Handbags - Embellishment,women.handbags
roll tab blouse,70,110,90,110,110,70,110,140,170,210,170,,,,women.womens_clothes.womens_tops
nubuck booties,170,70,20,30,40,70,170,210,170,170,170,,,,women.womens_shoes.boots
faux leather sandals,260,590,720,1000,1000,880,590,260,140,110,170,,,Shoes - Sandals: Materials,women.womens_shoes.sandals
cut out gown,390,320,320,260,210,210,260,170,170,320,170,,,Dresses - Formal: Silhouette,women.womens_clothes.dresses
mens wrap bracelets,90,90,50,70,50,40,90,170,390,260,170,,,,men.mens_clothes.mens_watches_and_jewelry.mens_jewelry
high necklace,50,70,90,70,90,50,70,70,90,90,170,,,,women.womens_clothes.jewelry.necklaces
cable gloves,110,50,20,40,40,90,50,40,110,210,170,,,Cold Weather Accessories - Gloves: Material,women.womens_clothes.womens_accessories.gloves
rider bag,210,390,260,260,210,210,210,320,210,260,170,,,,women.handbags
overnight masks,210,260,210,170,170,170,140,140,210,210,170,,,,women.womens_beauty.skin_care.face_care
rose gold tone necklace,210,170,260,70,140,90,140,110,140,170,170,,,,women.womens_clothes.jewelry.necklaces
perforated flats,320,720,1000,1000,720,590,480,320,260,210,170,,,Shoes - Flats: Embellishment,women.womens_shoes.flats
tech briefcase,90,90,110,110,70,140,110,140,140,110,170,,,,men.mens_bags.mens_business_bags
american comedy awards,480,390,260,260,260,260,260,210,170,170,170,,,,living.accents.accents_desktop.desktop_books
iguana skin,170,170,140,170,170,140,140,110,210,210,170,,,,
mens platinum bracelets,110,90,110,90,70,110,90,110,110,140,170,,,Mens - Bracelets: Material & Color,men.mens_clothes.mens_watches_and_jewelry.mens_watches
jeweled sneakers,90,210,140,110,110,110,140,110,140,90,170,,,,women.womens_shoes.womens_sneakers
mens pin,170,140,110,90,140,140,140,140,390,260,170,,,Mens - Jewelry: Classification,men.mens_clothes
strap you,0,0,0,0,10,50,30,70,90,170,170,,,,women
cable crew,90,90,110,90,110,90,110,140,170,170,170,,,,women.womens_clothes.sweaters.crewneck_sweaters
lantern dress,260,260,210,390,210,210,170,140,140,170,170,,,,women.womens_clothes.dresses
applique   gown,110,110,170,110,70,90,320,110,140,210,170,,,Dresses - Formal: Embellishment,
mens ribbed socks,140,90,110,90,110,50,90,90,140,260,210,,,,men.mens_clothes.mens_underwear_and_socks.mens_socks
peopleschoiceawards,30,30,20,20,20,10,10,10,320,590,210,,,Events - Red Carpet Hashtags,
d-frame sunglasses,320,480,720,880,590,480,390,260,210,260,210,,,,women.womens_clothes.womens_accessories.womens_eyewear.sunglasses
criss cross bathing suit,320,590,320,320,390,390,260,110,90,110,210,,,Swimwear - Silhouette,women.womens_clothes.swimsuits
terry jacket,260,260,260,140,170,210,210,210,260,210,210,,,,women.womens_clothes.jackets
mens document case,140,140,90,70,90,70,70,50,50,140,210,,,,men.mens_bags.mens_business_bags
silk pencil skirt,260,320,260,320,390,260,260,260,260,320,210,,,,women.womens_clothes.skirts
tribal print top,390,390,480,320,390,480,320,260,320,260,210,,,,women.womens_clothes.womens_tops
sneaker bootie,90,170,170,110,110,70,170,210,320,320,210,,,Shoes - Booties: Classification,women.womens_shoes.womens_sneakers
thin bangle,70,70,140,90,90,110,110,70,880,480,210,,,,women.womens_clothes.jewelry.bracelets
silk sleepshirt,140,140,90,90,70,70,70,90,110,170,210,,,,women.womens_clothes.womens_intimates
chain booties,90,70,50,30,10,20,90,90,260,210,210,,,Shoes - Booties: Embellishment,women.womens_shoes.boots
mens print t shirt,90,170,140,70,170,140,110,110,90,170,210,,,Mens - Tees & Polos: Fabrics & Prints,men.mens_clothes.mens_shirts.mens_tees_and_tshirts
wool romper,20,40,20,10,30,40,50,90,260,210,210,,,,women.womens_clothes.shorts
calf hair sneakers,170,140,140,90,40,50,110,170,170,260,210,,,,women.womens_shoes.womens_sneakers
washed silk,260,320,320,260,260,260,210,170,210,260,210,,,,women.womens_clothes
cleansing mousse,210,210,170,210,210,260,260,210,210,210,210,,,,women.womens_beauty.skin_care
pompom charm,50,40,50,50,40,70,40,70,90,210,210,,,,women.womens_clothes
taper jean,170,210,170,170,210,170,210,210,170,170,210,,,,men.mens_clothes.mens_jeans
spike collar necklace,70,210,110,90,140,140,110,140,320,110,210,,,,women.womens_clothes.jewelry.necklaces
contour face palette,140,110,70,110,90,170,110,70,110,210,210,,,Beauty - Contouring Products,women.womens_beauty.makeup
air cushion compact,70,110,70,90,110,90,110,110,140,90,210,,,,women.womens_beauty.makeup
pebbled leather bag,210,320,260,210,210,170,210,110,210,260,210,,,,women.handbags
triple wrap leather bracelet,110,140,140,170,140,110,170,110,140,170,210,,,,women.womens_clothes.jewelry.bracelets
chain sneakers,210,170,210,90,90,140,140,70,260,210,210,,,Shoes - Sneakers: Embellishment,women.womens_shoes.womens_sneakers
501 shorts,320,320,480,590,720,590,390,260,260,260,210,,,,women.womens_clothes.shorts
plus size button down,140,210,210,140,140,210,170,260,320,210,210,,,,women.womens_clothes.plus_sizes
fringe pencil skirt,260,140,110,70,210,140,110,320,320,210,210,,,,women.womens_clothes.skirts
printed romper,320,480,720,720,720,590,480,260,260,260,210,,,,women.womens_clothes.shorts
people magazine awards,880,720,720,210,880,170,170,140,140,170,210,,,,
deconstructed jeans,210,260,260,260,260,260,320,320,320,260,210,,,,women.womens_clothes.jeans
501 jean,170,140,140,140,210,140,110,140,140,140,210,,,,men.mens_clothes.mens_jeans
cushion pact,90,90,210,140,170,210,170,170,170,320,210,,,Beauty - Korean,women
phillip lim pants,210,260,210,210,170,260,170,260,260,210,210,,,,women.womens_clothes.womens_pants
crocodile sandals,260,320,320,320,320,320,210,170,170,170,210,,,,women.womens_shoes.sandals
slim fit boxer,210,260,260,260,170,210,210,140,210,140,210,,,,men.mens_clothes.mens_underwear_and_socks.mens_boxers
reflective lenses,170,260,210,260,260,260,260,210,260,210,210,,,,women.womens_clothes.womens_accessories.womens_eyewear.sunglasses
foldover pants,260,320,390,480,320,260,260,590,260,170,210,,,Maternity - Classification,women.womens_clothes
lip roller,170,210,170,170,140,140,110,110,140,140,210,,,Beauty - Lip Tools,women.womens_beauty
crystal sneakers,170,260,170,110,170,90,170,210,260,260,210,,,Shoes - Sneakers: Embellishment,women.womens_shoes.womens_sneakers
patent sneakers,110,140,110,110,110,170,140,140,260,210,210,,,Shoes - Sneakers: Materials,women.womens_shoes.womens_sneakers
silver tone bracelet,110,170,170,140,170,260,90,140,110,260,210,,,,women.womens_clothes.jewelry
jersey romper,260,390,480,590,720,590,480,320,210,210,210,,,,kids_and_baby.kids_and_baby_clothing
amor naturals,0,0,0,0,0,0,0,260,210,210,210,,,Trends - Gifting: Beauty Sets,women.womens_beauty.skin_care
slit midi skirt,110,210,170,170,260,210,260,170,140,170,210,,,,women.womens_clothes.skirts.mid_length_skirts
cotton blend leggings,90,170,110,170,70,70,90,110,210,170,210,,,,women.womens_clothes.womens_pants.leggings
powder pact,170,170,210,260,210,140,260,170,110,170,210,,,,
cotton bucket hat,480,590,720,880,1000,880,480,480,320,260,210,,,,men.mens_clothes.mens_accessories.mens_hats
hair babylights,140,140,140,260,210,210,320,170,210,210,210,,,,
perfume body wash,90,140,170,170,170,210,170,170,260,260,210,,,Beauty - Fragrance,women.womens_beauty.bath_body
sailor pant,140,260,170,170,210,210,170,260,320,260,210,,,,women.womens_clothes.womens_pants
halter sweater,110,140,140,70,70,90,110,140,210,260,210,,,,women.womens_clothes.sweaters
georgette gown,140,170,170,210,210,140,170,210,210,210,210,,,Dresses - Formal: Material,women.womens_clothes.dresses.evening_dresses
convertible sweater,70,50,70,70,50,70,70,110,170,210,210,,,,women.womens_clothes.sweaters
charcoal skin,140,170,170,210,260,260,320,260,170,210,210,,,,women.womens_clothes
leather flared skirt,110,170,50,90,90,70,90,140,110,210,210,,,,women.womens_clothes.skirts
crossover skirt,210,390,320,260,320,320,260,210,210,260,210,,,,women.womens_clothes.skirts
mens print sweatshirt,50,70,90,20,30,20,30,10,40,170,210,,,,men.mens_clothes.mens_sweatshirts
small accessories,110,110,140,140,170,210,170,110,140,170,210,,,,women.womens_clothes.womens_accessories
modern fit dress shirt,170,140,140,170,170,170,210,210,260,210,210,,,,men.mens_clothes.mens_shirts.mens_dress_shirts
animal print shorts,480,590,720,880,720,880,880,720,720,260,210,,,Shorts - Classification,women.womens_clothes.shorts
mens poloshirts,50,110,110,140,170,210,110,90,110,210,210,,,Mens - Basic,men.mens_clothes.mens_shirts.mens_polo_shirts
python booties,70,90,50,30,40,90,140,210,210,260,210,,,,women.womens_shoes.boots
mock neck pullover,90,90,50,70,30,20,70,90,170,210,260,,,,men.mens_clothes.mens_sweaters
